,ID,LEARNING_RATE,LAMBDA_L2,OUTPUT_KEEP_PROB,NUM_LSTM,NUM_HIDDEN,NUM_MLP,NUM_NEURON,BATCH_SIZE,BATCH_LENGTH
69,70,0.0027383746,0.0008278334,0.3947960103,3,1083,0,124,8,3000
70,71,0.0001585158,0.0001040201,0.3386801561,2,108,3,1057,16,2500
71,72,0.0003554309,0.0003273736,0.3393770152,2,90,1,114,16,2000
72,73,0.0021923527,0.0001682693,0.4433813296,3,275,2,198,16,2500
73,74,0.0010610786,0.0008181212,0.5093071181,2,116,0,181,8,4000
74,75,0.0047734711,0.0001719479,0.6816825898,2,82,2,83,16,2000
75,76,0.0001416627,0.0002168886,0.2857626203,2,158,2,272,16,2000
76,77,0.0048260711,0.0002864612,0.4794678223,2,194,1,491,16,2500
77,78,0.0001330287,0.0005514261,0.5011410471,4,186,3,783,16,3000
78,79,0.000102641,7.13426778263514E-05,0.6992591457,1,724,2,123,16,2500
79,80,0.0012746307,0.0002613811,0.3297766237,1,368,3,56,16,2500
80,81,0.0020871279,6.80130967194258E-05,0.3694986603,2,64,2,72,16,2000
81,82,0.0001262823,0.000548993,0.3494881965,1,61,1,217,16,3000
82,83,0.0058801666,0.0002381671,0.6174611522,1,73,0,205,8,4000
83,84,0.0073884312,0.0004430875,0.6072257031,2,435,2,817,16,3000
84,85,0.0033035361,8.97464796545652E-05,0.3727282549,2,325,1,581,16,3000
85,86,0.0001544495,0.0001075313,0.3950813918,3,69,2,470,16,2500
86,87,0.0003460049,0.0001336576,0.7782518814,2,273,3,180,16,2500
87,88,0.0092553448,0.0004345926,0.8956291469,2,169,1,108,8,4000
88,89,0.0036240104,0.0006575241,0.2711202457,3,305,2,791,16,2000
89,90,0.0068361927,0.0007196627,0.3844634291,3,139,0,93,16,2000
90,91,0.001087688,2.46090978657465E-07,0.3403632423,3,67,2,86,16,3000
91,92,0.0002648703,0.0009136315,0.2567373383,4,398,0,708,16,2500
92,93,0.0022317546,0.0006056002,0.540062063,4,133,2,346,16,3000
93,94,0.0009843571,0.0008639239,0.8892592629,4,150,0,188,8,4000
94,95,0.0001199021,0.000795078,0.3055029848,2,69,1,88,16,2000
95,96,0.000140483,0.00086709,0.8523759355,1,305,1,112,16,2500
96,97,0.0007354846,0.0004730529,0.455540839,1,229,2,88,16,3000
97,98,0.0095954974,0.0008265571,0.7307812965,2,348,1,653,8,4000
98,99,0.0032020042,0.0009763437,0.3810808001,3,945,1,695,8,2000
99,100,0.0056857818,0.0002957468,0.6755130619,3,226,2,222,8,4000
